de
en
van
ik
te
dat
die
in
een
hij
het
niet
zijn
is
was
op
aan
met
als
voor
had
er
maar
om
hem
dan
zou
of
wat
mijn
men
dit
zo
door
over
ze
zich
bij
ook
tot
je
mij
uit
der
daar
haar
naar
heb
hoe
heeft
hebben
deze
u
want
nog
zal
me
zij
nu
ge
geen
omdat
iets
worden
toch
al
waren
veel
meer
doen
toen
moet
ben
zonder
kan
hun
dus
alles
onder
ja
eens
hier
wie
werd
altijd
doch
wordt
wezen
kunnen
ons
zelf
tegen
na
reeds
wil
kon
niets
uw
iemand
geweest
af
we
wel
wij
zei
aangaande
aangezien
achter
achterna
afgelopen
aldaar
aldus
alhoewel
alias
alle
allebei
alleen
alsnog
altoos
ander
andere
anders
anderszins
behalve
behoudens
beide
beiden
beneden
bent
bepaald
betreffende
binnen
binnenin
boven
bovenal
bovendien
bovengenoemd
bovenstaand
bovenvermeld
buiten
daarheen
daarin
daarna
daarnet
daarom
daarop
daarvanlangs
dikwijls
doorgaand
echter
eer
eerdat
eerder
eerlang
eerst
elk
elke
enig
enigszins
enkel
erdoor
even
eveneens
evenwel
gauw
gedurende
gehad
gekund
geleden
gelijk
gemoeten
gemogen
gewoon
gewoonweg
hadden
hare
hebt
hen
hierbeneden
hierboven
hoewel
hunne
ikzelf
inmiddels
inzake
jezelf
jij
jijzelf
jou
jouw
jouwe
juist
jullie
klaar
konden
krachtens
kunt
later
liever
mag
mezelf
mijnent
mijner
mijzelf
misschien
mocht
mochten
moest
moesten
moeten
mogen
nadat
net
noch
nogal
ofschoon
omhoog
omlaag
omstreeks
omtrent
omver
ondertussen
ongeveer
onszelf
onze
opnieuw
opzij
overeind
overigens
pas
precies
rond
rondom
sedert
sinds
sindsdien
slechts
sommige
spoedig
steeds
tamelijk
tenzij
terwijl
thans
tijdens
toenmaals
toenmalig
totdat
tussen
uitgezonderd
vaakwat
vandaan
vanuit
vanwege
veeleer
verder
vervolgens
vol
volgens
vooraf
vooral
vooralsnog
voorbij
voordat
voordezen
voordien
voorheen
voorop
vooruit
vrij
vroeg
waar
waarom
wanneer
weer
weg
wegens
weldra
welk
welke
wiens
wier
wijzelf
zelfs
zichzelf
zijne
zodra
zouden
zowat
zulke
zullen
zult
